epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,1.89789,0.71667,0.71667,0.68375,0.0002992
1,0.59805,0.89333,0.89333,0.891,0.0002967
2,0.17336,0.89667,0.89667,0.89731,0.0002927
3,0.04936,0.90667,0.90667,0.90588,0.000287
4,0.01881,0.91,0.91,0.90951,0.0002799
5,0.00697,0.91667,0.91667,0.91654,0.0002714
6,0.00384,0.94,0.94,0.93998,0.0002615
7,0.00303,0.93,0.93,0.9302,0.0002504
8,0.00195,0.92333,0.92333,0.92396,0.0002382
9,0.00167,0.92667,0.92667,0.92719,0.000225
10,0.00139,0.91333,0.91333,0.91301,0.000211
11,0.00133,0.91333,0.91333,0.91301,0.0001964
12,0.00108,0.91667,0.91667,0.91635,0.0001812
13,0.00097,0.92333,0.92333,0.92232,0.0001657
14,0.00109,0.92333,0.92333,0.92299,0.00015
15,0.00093,0.92667,0.92667,0.9265,0.0001343
16,0.00084,0.92667,0.92667,0.9265,0.0001188
17,0.00081,0.92667,0.92667,0.9265,0.0001036
18,0.00107,0.92333,0.92333,0.92259,8.9e-05
19,0.00074,0.92333,0.92333,0.92259,7.5e-05
20,0.00074,0.92333,0.92333,0.92259,6.18e-05
21,0.00073,0.92333,0.92333,0.92259,4.96e-05
22,0.00077,0.92333,0.92333,0.92259,3.85e-05
23,0.00068,0.92333,0.92333,0.92259,2.86e-05
24,0.00069,0.92333,0.92333,0.92259,2.01e-05
25,0.00067,0.92333,0.92333,0.92259,1.3e-05
26,0.00067,0.92333,0.92333,0.92259,7.3e-06
27,0.00068,0.92333,0.92333,0.92259,3.3e-06
28,0.00065,0.92333,0.92333,0.92259,8e-07
29,0.00069,0.92333,0.92333,0.92259,0.0
