epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,1.79741,0.75333,0.75333,0.74333,0.0002992
1,0.73218,0.79667,0.79667,0.79095,0.0002967
2,0.38259,0.83,0.83,0.82455,0.0002927
3,0.22283,0.82,0.82,0.82313,0.000287
4,0.18403,0.79333,0.79333,0.79115,0.0002799
5,0.13543,0.81333,0.81333,0.80831,0.0002714
6,0.09644,0.84667,0.84667,0.84614,0.0002615
7,0.05138,0.84667,0.84667,0.84576,0.0002504
8,0.03942,0.86333,0.86333,0.86359,0.0002382
9,0.02641,0.83333,0.83333,0.83264,0.000225
10,0.02634,0.86,0.86,0.85921,0.000211
11,0.01839,0.87,0.87,0.86922,0.0001964
12,0.01442,0.87333,0.87333,0.87345,0.0001812
13,0.01143,0.87333,0.87333,0.87459,0.0001657
14,0.00957,0.86333,0.86333,0.86495,0.00015
15,0.00955,0.86333,0.86333,0.86397,0.0001343
16,0.00865,0.87333,0.87333,0.8723,0.0001188
17,0.0078,0.86667,0.86667,0.86559,0.0001036
18,0.00739,0.87,0.87,0.86936,8.9e-05
19,0.00721,0.87,0.87,0.86936,7.5e-05
20,0.0068,0.87,0.87,0.86927,6.18e-05
21,0.00661,0.87333,0.87333,0.87243,4.96e-05
22,0.00662,0.87333,0.87333,0.87243,3.85e-05
23,0.00631,0.87333,0.87333,0.87258,2.86e-05
24,0.00601,0.87333,0.87333,0.87258,2.01e-05
25,0.00639,0.87667,0.87667,0.87572,1.3e-05
26,0.0061,0.87667,0.87667,0.87572,7.3e-06
27,0.00624,0.87667,0.87667,0.87572,3.3e-06
28,0.00614,0.87667,0.87667,0.87572,8e-07
29,0.00631,0.87667,0.87667,0.87572,0.0
