epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,2.5862,0.38667,0.38667,0.35255,0.0009973
1,1.30591,0.64333,0.64333,0.63686,0.0009891
2,0.69434,0.78,0.78,0.77881,0.0009755
3,0.43997,0.82333,0.82333,0.82327,0.0009568
4,0.27559,0.85667,0.85667,0.85566,0.000933
5,0.21421,0.87,0.87,0.86922,0.0009045
6,0.18175,0.89667,0.89667,0.89591,0.0008716
7,0.16028,0.89667,0.89667,0.89577,0.0008346
8,0.13196,0.89333,0.89333,0.89228,0.0007939
9,0.11518,0.89667,0.89667,0.89563,0.00075
10,0.0985,0.9,0.9,0.89889,0.0007034
11,0.10122,0.9,0.9,0.89921,0.0006545
12,0.08677,0.90333,0.90333,0.90262,0.000604
13,0.07603,0.90667,0.90667,0.90589,0.0005523
14,0.07783,0.9,0.9,0.89921,0.0005
15,0.07165,0.9,0.9,0.89921,0.0004477
16,0.06677,0.9,0.9,0.89921,0.000396
17,0.06367,0.9,0.9,0.89921,0.0003455
18,0.07072,0.90333,0.90333,0.90257,0.0002966
19,0.06163,0.90667,0.90667,0.9057,0.00025
20,0.05949,0.90667,0.90667,0.9057,0.0002061
21,0.06019,0.90667,0.90667,0.9057,0.0001654
22,0.05654,0.90667,0.90667,0.9057,0.0001284
23,0.06042,0.90667,0.90667,0.9057,9.55e-05
24,0.06373,0.90667,0.90667,0.9057,6.7e-05
25,0.06172,0.90667,0.90667,0.9057,4.32e-05
26,0.064,0.90667,0.90667,0.9057,2.45e-05
27,0.05609,0.90667,0.90667,0.9057,1.09e-05
28,0.05707,0.90667,0.90667,0.9057,2.7e-06
29,0.05641,0.90667,0.90667,0.9057,0.0
