epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,2.29179,0.12333,0.12333,0.09664,0.0002992
1,2.16565,0.35667,0.35667,0.34129,0.0002967
2,2.0397,0.52333,0.52333,0.50835,0.0002927
3,1.89379,0.65,0.65,0.64405,0.000287
4,1.72887,0.69667,0.69667,0.69269,0.0002799
5,1.58288,0.74,0.74,0.72948,0.0002714
6,1.41993,0.78667,0.78667,0.78016,0.0002615
7,1.27134,0.82333,0.82333,0.81711,0.0002504
8,1.1447,0.84667,0.84667,0.84374,0.0002382
9,1.03145,0.86333,0.86333,0.85884,0.000225
10,0.90133,0.86333,0.86333,0.85844,0.000211
11,0.81564,0.87,0.87,0.86671,0.0001964
12,0.73824,0.86667,0.86667,0.86327,0.0001812
13,0.6588,0.87667,0.87667,0.8726,0.0001657
14,0.60244,0.87333,0.87333,0.8691,0.00015
15,0.54809,0.88,0.88,0.87651,0.0001343
16,0.50225,0.87333,0.87333,0.87013,0.0001188
17,0.47006,0.88,0.88,0.87745,0.0001036
18,0.4463,0.87667,0.87667,0.87309,8.9e-05
19,0.41405,0.87,0.87,0.86638,7.5e-05
20,0.38874,0.87667,0.87667,0.87335,6.18e-05
21,0.39613,0.87333,0.87333,0.86929,4.96e-05
22,0.36583,0.87333,0.87333,0.86929,3.85e-05
23,0.35276,0.87667,0.87667,0.87249,2.86e-05
24,0.34806,0.87333,0.87333,0.86929,2.01e-05
25,0.3608,0.88,0.88,0.87586,1.3e-05
26,0.33144,0.87667,0.87667,0.87266,7.3e-06
27,0.35003,0.87333,0.87333,0.86929,3.3e-06
28,0.35489,0.87667,0.87667,0.87335,8e-07
29,0.33867,0.88,0.88,0.87655,0.0
