epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,1.97687,0.74333,0.74333,0.72505,0.0002992
1,0.69512,0.87,0.87,0.86459,0.0002967
2,0.25608,0.87667,0.87667,0.87722,0.0002927
3,0.13233,0.90667,0.90667,0.90663,0.000287
4,0.08609,0.89333,0.89333,0.89265,0.0002799
5,0.04745,0.91,0.91,0.90852,0.0002714
6,0.03267,0.93,0.93,0.93031,0.0002615
7,0.01237,0.88,0.88,0.87685,0.0002504
8,0.01803,0.89333,0.89333,0.89247,0.0002382
9,0.01326,0.89333,0.89333,0.8927,0.000225
10,0.01771,0.91,0.91,0.91003,0.000211
11,0.00582,0.9,0.9,0.90067,0.0001964
12,0.01157,0.9,0.9,0.90061,0.0001812
13,0.01136,0.89333,0.89333,0.89364,0.0001657
14,0.00338,0.89,0.89,0.8898,0.00015
15,0.01073,0.87667,0.87667,0.87373,0.0001343
16,0.01194,0.88667,0.88667,0.88634,0.0001188
17,0.00203,0.88333,0.88333,0.8836,0.0001036
18,0.00227,0.89,0.89,0.89043,8.9e-05
19,0.00387,0.89333,0.89333,0.89376,7.5e-05
20,0.00369,0.9,0.9,0.90069,6.18e-05
21,0.0017,0.91,0.91,0.91073,4.96e-05
22,0.00126,0.91333,0.91333,0.91413,3.85e-05
23,0.00129,0.91,0.91,0.91087,2.86e-05
24,0.00241,0.91,0.91,0.91087,2.01e-05
25,0.00122,0.91,0.91,0.91087,1.3e-05
26,0.0013,0.91,0.91,0.91087,7.3e-06
27,0.00306,0.91,0.91,0.91087,3.3e-06
28,0.00129,0.91667,0.91667,0.91767,8e-07
29,0.00269,0.91667,0.91667,0.91767,0.0
