epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,1.81523,0.68667,0.68667,0.67693,0.0002992
1,0.84506,0.75667,0.75667,0.74421,0.0002967
2,0.49451,0.77,0.77,0.75915,0.0002927
3,0.36113,0.82333,0.82333,0.82384,0.000287
4,0.20003,0.77,0.77,0.76579,0.0002799
5,0.18504,0.78,0.78,0.77349,0.0002714
6,0.11791,0.75,0.75,0.73853,0.0002615
7,0.1163,0.76667,0.76667,0.76328,0.0002504
8,0.13805,0.75,0.75,0.74372,0.0002382
9,0.1181,0.75667,0.75667,0.75323,0.000225
10,0.07149,0.80333,0.80333,0.79766,0.000211
11,0.062,0.81,0.81,0.802,0.0001964
12,0.04019,0.77,0.77,0.76647,0.0001812
13,0.04125,0.80667,0.80667,0.80466,0.0001657
14,0.03309,0.79,0.79,0.7852,0.00015
15,0.0519,0.80333,0.80333,0.80058,0.0001343
16,0.03124,0.77667,0.77667,0.77282,0.0001188
17,0.0471,0.8,0.8,0.79954,0.0001036
18,0.01867,0.80333,0.80333,0.80147,8.9e-05
19,0.08431,0.82,0.82,0.81824,7.5e-05
20,0.01855,0.79333,0.79333,0.78841,6.18e-05
21,0.04991,0.81,0.81,0.8051,4.96e-05
22,0.02277,0.8,0.8,0.79718,3.85e-05
23,0.01613,0.81667,0.81667,0.81646,2.86e-05
24,0.01775,0.81667,0.81667,0.81744,2.01e-05
25,0.01373,0.82333,0.82333,0.82404,1.3e-05
26,0.01708,0.81667,0.81667,0.81736,7.3e-06
27,0.0146,0.81333,0.81333,0.81386,3.3e-06
28,0.01386,0.81333,0.81333,0.81386,8e-07
29,0.01945,0.81333,0.81333,0.81386,0.0
