epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,2.60352,0.38667,0.38667,0.35176,0.0009973
1,1.41313,0.63333,0.63333,0.62578,0.0009891
2,0.79842,0.77333,0.77333,0.77205,0.0009755
3,0.5226,0.83333,0.83333,0.83393,0.0009568
4,0.34779,0.83667,0.83667,0.83502,0.000933
5,0.28697,0.86,0.86,0.85768,0.0009045
6,0.25076,0.88,0.88,0.87885,0.0008716
7,0.20047,0.89,0.89,0.88847,0.0008346
8,0.21653,0.89333,0.89333,0.89226,0.0007939
9,0.20834,0.89667,0.89667,0.89573,0.00075
10,0.16063,0.89333,0.89333,0.89219,0.0007034
11,0.16117,0.9,0.9,0.89921,0.0006545
12,0.12532,0.90333,0.90333,0.90269,0.000604
13,0.13748,0.9,0.9,0.8991,0.0005523
14,0.13485,0.9,0.9,0.89921,0.0005
15,0.10204,0.89667,0.89667,0.89596,0.0004477
16,0.15411,0.9,0.9,0.89932,0.000396
17,0.09321,0.9,0.9,0.89932,0.0003455
18,0.11026,0.9,0.9,0.89932,0.0002966
19,0.11717,0.90333,0.90333,0.90257,0.00025
20,0.10593,0.90333,0.90333,0.90257,0.0002061
21,0.10116,0.90333,0.90333,0.90257,0.0001654
22,0.11193,0.90333,0.90333,0.90257,0.0001284
23,0.11194,0.90333,0.90333,0.90257,9.55e-05
24,0.11202,0.90333,0.90333,0.90257,6.7e-05
25,0.1077,0.90333,0.90333,0.90257,4.32e-05
26,0.10503,0.90333,0.90333,0.90257,2.45e-05
27,0.10318,0.90333,0.90333,0.90257,1.09e-05
28,0.07826,0.90333,0.90333,0.90257,2.7e-06
29,0.09334,0.90333,0.90333,0.90245,0.0
