epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,2.29977,0.28,0.28,0.21757,0.0002992
1,2.19856,0.42667,0.42667,0.38609,0.0002967
2,2.09156,0.51,0.51,0.49429,0.0002927
3,1.98884,0.60333,0.60333,0.59939,0.000287
4,1.84896,0.64667,0.64667,0.64157,0.0002799
5,1.73724,0.67667,0.67667,0.67083,0.0002714
6,1.58106,0.72667,0.72667,0.72659,0.0002615
7,1.44122,0.73667,0.73667,0.73661,0.0002504
8,1.30892,0.77333,0.77333,0.77206,0.0002382
9,1.19881,0.78667,0.78667,0.78754,0.000225
10,1.05303,0.79667,0.79667,0.79684,0.000211
11,0.97192,0.79,0.79,0.79027,0.0001964
12,0.87717,0.79333,0.79333,0.79423,0.0001812
13,0.79781,0.79667,0.79667,0.79773,0.0001657
14,0.73816,0.79667,0.79667,0.79823,0.00015
15,0.69264,0.80333,0.80333,0.80529,0.0001343
16,0.61407,0.82,0.82,0.82232,0.0001188
17,0.59395,0.81,0.81,0.81219,0.0001036
18,0.56945,0.81333,0.81333,0.815,8.9e-05
19,0.52036,0.81667,0.81667,0.818,7.5e-05
20,0.53049,0.81333,0.81333,0.8148,6.18e-05
21,0.51501,0.81667,0.81667,0.818,4.96e-05
22,0.48626,0.81667,0.81667,0.81865,3.85e-05
23,0.49063,0.82,0.82,0.82262,2.86e-05
24,0.47966,0.82333,0.82333,0.82586,2.01e-05
25,0.49151,0.82,0.82,0.82165,1.3e-05
26,0.4923,0.82,0.82,0.82253,7.3e-06
27,0.47851,0.81667,0.81667,0.81891,3.3e-06
28,0.46805,0.81667,0.81667,0.81891,8e-07
29,0.46854,0.82667,0.82667,0.82891,0.0
