epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,0.6863,0.72333,0.72333,0.71955,0.0002992
1,0.1018,0.73,0.73,0.72934,0.0002967
2,0.0712,0.73667,0.73667,0.73103,0.0002927
3,0.04871,0.73333,0.73333,0.73441,0.000287
4,0.01123,0.77,0.77,0.76425,0.0002799
5,0.00316,0.75667,0.75667,0.75538,0.0002714
6,0.00449,0.73333,0.73333,0.73142,0.0002615
7,0.0066,0.73333,0.73333,0.7369,0.0002504
8,0.08711,0.74667,0.74667,0.74563,0.0002382
9,0.02643,0.7,0.7,0.69206,0.000225
10,0.03183,0.7,0.7,0.70986,0.000211
11,0.05403,0.69,0.69,0.69628,0.0001964
12,0.0178,0.7,0.7,0.70881,0.0001812
13,0.00566,0.69333,0.69333,0.68299,0.0001657
14,0.00789,0.75333,0.75333,0.75912,0.00015
15,0.00143,0.74667,0.74667,0.75262,0.0001343
16,0.00082,0.75,0.75,0.75585,0.0001188
17,0.00107,0.74333,0.74333,0.75077,0.0001036
18,0.00181,0.75,0.75,0.75731,8.9e-05
19,0.00368,0.74333,0.74333,0.74773,7.5e-05
20,0.00071,0.73333,0.73333,0.7368,6.18e-05
21,0.00118,0.73333,0.73333,0.73902,4.96e-05
22,0.00054,0.73333,0.73333,0.73902,3.85e-05
23,0.00052,0.73333,0.73333,0.73902,2.86e-05
24,0.00081,0.73333,0.73333,0.73902,2.01e-05
25,0.00047,0.73667,0.73667,0.74207,1.3e-05
26,0.00049,0.73667,0.73667,0.74207,7.3e-06
27,0.00272,0.74,0.74,0.74529,3.3e-06
28,0.00047,0.74,0.74,0.74529,8e-07
29,0.00104,0.74,0.74,0.74529,0.0
