epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,0.91902,0.66333,0.66333,0.65137,0.0002992
1,0.20484,0.67,0.67,0.67151,0.0002967
2,0.15283,0.62333,0.62333,0.61475,0.0002927
3,0.13961,0.66,0.66,0.65902,0.000287
4,0.10708,0.60333,0.60333,0.5867,0.0002799
5,0.09059,0.64,0.64,0.63888,0.0002714
6,0.07454,0.65333,0.65333,0.64835,0.0002615
7,0.05412,0.7,0.7,0.69611,0.0002504
8,0.0784,0.65,0.65,0.6488,0.0002382
9,0.06468,0.64667,0.64667,0.65111,0.000225
10,0.04101,0.67667,0.67667,0.67856,0.000211
11,0.02692,0.67333,0.67333,0.66294,0.0001964
12,0.04177,0.67667,0.67667,0.67323,0.0001812
13,0.026,0.65333,0.65333,0.65509,0.0001657
14,0.01303,0.69333,0.69333,0.69584,0.00015
15,0.0057,0.71,0.71,0.71235,0.0001343
16,0.00424,0.70667,0.70667,0.70466,0.0001188
17,0.00713,0.70667,0.70667,0.71096,0.0001036
18,0.01038,0.68,0.68,0.68325,8.9e-05
19,0.0064,0.69,0.69,0.68992,7.5e-05
20,0.01057,0.67,0.67,0.66887,6.18e-05
21,0.00925,0.70667,0.70667,0.7074,4.96e-05
22,0.00379,0.69333,0.69333,0.69097,3.85e-05
23,0.00309,0.71333,0.71333,0.71269,2.86e-05
24,0.00417,0.70667,0.70667,0.70838,2.01e-05
25,0.0043,0.70667,0.70667,0.70516,1.3e-05
26,0.00319,0.71,0.71,0.70794,7.3e-06
27,0.00244,0.71,0.71,0.7078,3.3e-06
28,0.00602,0.70333,0.70333,0.7001,8e-07
29,0.00868,0.71,0.71,0.70784,0.0
