epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,1.36577,0.71,0.71,0.69821,0.0009973
1,0.26079,0.76333,0.76333,0.75583,0.0009891
2,0.1495,0.78,0.78,0.77186,0.0009755
3,0.11239,0.78667,0.78667,0.77949,0.0009568
4,0.09366,0.80333,0.80333,0.79708,0.000933
5,0.07961,0.79667,0.79667,0.79053,0.0009045
6,0.0727,0.79333,0.79333,0.786,0.0008716
7,0.06538,0.79333,0.79333,0.78669,0.0008346
8,0.06011,0.78667,0.78667,0.77799,0.0007939
9,0.0532,0.78333,0.78333,0.77445,0.00075
10,0.05071,0.79,0.79,0.78199,0.0007034
11,0.0496,0.79333,0.79333,0.78476,0.0006545
12,0.04944,0.79,0.79,0.7824,0.000604
13,0.04206,0.79333,0.79333,0.78626,0.0005523
14,0.04265,0.79,0.79,0.78192,0.0005
15,0.03999,0.79667,0.79667,0.78915,0.0004477
16,0.03816,0.79333,0.79333,0.78512,0.000396
17,0.03621,0.79333,0.79333,0.78533,0.0003455
18,0.03709,0.79,0.79,0.78193,0.0002966
19,0.03229,0.79667,0.79667,0.78918,0.00025
20,0.03354,0.79,0.79,0.78193,0.0002061
21,0.03258,0.79333,0.79333,0.78518,0.0001654
22,0.03608,0.79333,0.79333,0.78545,0.0001284
23,0.0312,0.79333,0.79333,0.78545,9.55e-05
24,0.03168,0.79333,0.79333,0.78538,6.7e-05
25,0.03601,0.79333,0.79333,0.78545,4.32e-05
26,0.03192,0.79333,0.79333,0.78545,2.45e-05
27,0.02799,0.79333,0.79333,0.78545,1.09e-05
28,0.03305,0.79333,0.79333,0.78545,2.7e-06
29,0.03033,0.79333,0.79333,0.78545,0.0
