epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,2.15499,0.37,0.37,0.33497,0.0002992
1,1.63725,0.57333,0.57333,0.55056,0.0002967
2,1.06683,0.64,0.64,0.63178,0.0002927
3,0.67901,0.65,0.65,0.65228,0.000287
4,0.45378,0.64667,0.64667,0.64993,0.0002799
5,0.30798,0.63333,0.63333,0.63867,0.0002714
6,0.23184,0.66,0.66,0.6681,0.0002615
7,0.16521,0.65333,0.65333,0.65519,0.0002504
8,0.12893,0.67,0.67,0.66991,0.0002382
9,0.10494,0.66,0.66,0.65391,0.000225
10,0.079,0.65333,0.65333,0.65575,0.000211
11,0.06558,0.64333,0.64333,0.64787,0.0001964
12,0.05368,0.67333,0.67333,0.67879,0.0001812
13,0.04686,0.66,0.66,0.66339,0.0001657
14,0.04307,0.65667,0.65667,0.66638,0.00015
15,0.04252,0.65333,0.65333,0.65608,0.0001343
16,0.03843,0.66,0.66,0.66305,0.0001188
17,0.03031,0.63667,0.63667,0.64769,0.0001036
18,0.02699,0.66333,0.66333,0.66563,8.9e-05
19,0.02383,0.65667,0.65667,0.66137,7.5e-05
20,0.0225,0.64667,0.64667,0.65132,6.18e-05
21,0.02233,0.65333,0.65333,0.65923,4.96e-05
22,0.02705,0.64667,0.64667,0.64978,3.85e-05
23,0.02214,0.64667,0.64667,0.65083,2.86e-05
24,0.0219,0.65333,0.65333,0.65873,2.01e-05
25,0.02069,0.65,0.65,0.65478,1.3e-05
26,0.01868,0.66333,0.66333,0.66957,7.3e-06
27,0.02128,0.65,0.65,0.65406,3.3e-06
28,0.02213,0.66,0.66,0.66629,8e-07
29,0.02312,0.65333,0.65333,0.65887,0.0
