epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,0.92571,0.82667,0.82667,0.83033,0.0002992
1,0.20977,0.81667,0.81667,0.81386,0.0002967
2,0.06174,0.85333,0.85333,0.8537,0.0002927
3,0.03031,0.85,0.85,0.85223,0.000287
4,0.03836,0.88,0.88,0.88241,0.0002799
5,0.02627,0.86333,0.86333,0.86303,0.0002714
6,0.0255,0.84,0.84,0.84016,0.0002615
7,0.01974,0.84333,0.84333,0.84341,0.0002504
8,0.00991,0.85333,0.85333,0.85349,0.0002382
9,0.00577,0.87333,0.87333,0.8749,0.000225
10,0.02091,0.85667,0.85667,0.85514,0.000211
11,0.01577,0.86333,0.86333,0.86378,0.0001964
12,0.00896,0.85333,0.85333,0.85379,0.0001812
13,0.00359,0.87,0.87,0.86999,0.0001657
14,0.00127,0.87333,0.87333,0.87312,0.00015
15,0.00185,0.87,0.87,0.87019,0.0001343
16,0.00128,0.87667,0.87667,0.87666,0.0001188
17,0.00076,0.87667,0.87667,0.87639,0.0001036
18,0.00083,0.87667,0.87667,0.87692,8.9e-05
19,0.00065,0.87333,0.87333,0.87358,7.5e-05
20,0.00061,0.88,0.88,0.87929,6.18e-05
21,0.00056,0.88,0.88,0.87929,4.96e-05
22,0.00067,0.87667,0.87667,0.87666,3.85e-05
23,0.00073,0.87667,0.87667,0.87666,2.86e-05
24,0.00063,0.87667,0.87667,0.87666,2.01e-05
25,0.00128,0.87667,0.87667,0.87666,1.3e-05
26,0.00081,0.87667,0.87667,0.87666,7.3e-06
27,0.00052,0.87667,0.87667,0.87666,3.3e-06
28,0.00055,0.87667,0.87667,0.87666,8e-07
29,0.00051,0.87667,0.87667,0.87666,0.0
