epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,0.63378,0.83333,0.83333,0.83144,0.0002992
1,0.1362,0.82667,0.82667,0.8271,0.0002967
2,0.06275,0.84667,0.84667,0.84757,0.0002927
3,0.07666,0.83,0.83,0.82663,0.000287
4,0.05053,0.83333,0.83333,0.83509,0.0002799
5,0.03184,0.85,0.85,0.84438,0.0002714
6,0.01529,0.87,0.87,0.8696,0.0002615
7,0.00867,0.82333,0.82333,0.82206,0.0002504
8,0.00256,0.83667,0.83667,0.83768,0.0002382
9,0.00377,0.83,0.83,0.82965,0.000225
10,0.0024,0.83333,0.83333,0.83536,0.000211
11,0.00283,0.84667,0.84667,0.84682,0.0001964
12,0.00316,0.84667,0.84667,0.84816,0.0001812
13,0.00315,0.84667,0.84667,0.84756,0.0001657
14,0.00973,0.83333,0.83333,0.83561,0.00015
15,0.00787,0.84333,0.84333,0.84531,0.0001343
16,0.0134,0.83667,0.83667,0.83676,0.0001188
17,0.00306,0.84333,0.84333,0.8438,0.0001036
18,0.00141,0.85667,0.85667,0.85621,8.9e-05
19,0.00097,0.84667,0.84667,0.84757,7.5e-05
20,0.00055,0.85,0.85,0.85095,6.18e-05
21,0.0004,0.85,0.85,0.85095,4.96e-05
22,0.0009,0.85,0.85,0.84991,3.85e-05
23,0.00038,0.85,0.85,0.84991,2.86e-05
24,0.00045,0.85,0.85,0.85006,2.01e-05
25,0.00033,0.84667,0.84667,0.84666,1.3e-05
26,0.0003,0.84667,0.84667,0.84666,7.3e-06
27,0.0003,0.84667,0.84667,0.84666,3.3e-06
28,0.00045,0.84667,0.84667,0.84666,8e-07
29,0.00032,0.84667,0.84667,0.84666,0.0
