epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,1.17394,0.8,0.8,0.79615,0.0002992
1,0.41154,0.8,0.8,0.79956,0.0002967
2,0.34262,0.76333,0.76333,0.75913,0.0002927
3,0.26543,0.82,0.82,0.82002,0.000287
4,0.14806,0.76667,0.76667,0.76295,0.0002799
5,0.15666,0.77667,0.77667,0.77406,0.0002714
6,0.11907,0.82333,0.82333,0.81795,0.0002615
7,0.20713,0.80667,0.80667,0.80711,0.0002504
8,0.15288,0.82667,0.82667,0.83237,0.0002382
9,0.09648,0.82333,0.82333,0.81828,0.000225
10,0.06964,0.83333,0.83333,0.83083,0.000211
11,0.05075,0.85,0.85,0.84879,0.0001964
12,0.04604,0.85,0.85,0.84953,0.0001812
13,0.01584,0.86333,0.86333,0.86005,0.0001657
14,0.00927,0.88333,0.88333,0.88153,0.00015
15,0.00743,0.88667,0.88667,0.88502,0.0001343
16,0.00773,0.87,0.87,0.8672,0.0001188
17,0.01003,0.88333,0.88333,0.8816,0.0001036
18,0.00555,0.88333,0.88333,0.88163,8.9e-05
19,0.00472,0.89,0.89,0.88867,7.5e-05
20,0.00684,0.88,0.88,0.87865,6.18e-05
21,0.00558,0.87667,0.87667,0.87523,4.96e-05
22,0.0049,0.88,0.88,0.87845,3.85e-05
23,0.00572,0.87333,0.87333,0.87124,2.86e-05
24,0.00475,0.87333,0.87333,0.87124,2.01e-05
25,0.00393,0.87667,0.87667,0.8746,1.3e-05
26,0.00441,0.87667,0.87667,0.8746,7.3e-06
27,0.0038,0.87667,0.87667,0.8746,3.3e-06
28,0.00469,0.87667,0.87667,0.8746,8e-07
29,0.00388,0.87667,0.87667,0.8746,0.0
