epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,0.81011,0.76667,0.76667,0.76433,0.0002992
1,0.27469,0.78333,0.78333,0.77647,0.0002967
2,0.17876,0.78,0.78,0.77709,0.0002927
3,0.12035,0.74333,0.74333,0.74267,0.000287
4,0.12702,0.78,0.78,0.78245,0.0002799
5,0.12466,0.71,0.71,0.70713,0.0002714
6,0.13648,0.77333,0.77333,0.76808,0.0002615
7,0.10154,0.77667,0.77667,0.77617,0.0002504
8,0.09477,0.77,0.77,0.77352,0.0002382
9,0.04744,0.78667,0.78667,0.787,0.000225
10,0.03713,0.79333,0.79333,0.79552,0.000211
11,0.04089,0.79667,0.79667,0.79086,0.0001964
12,0.03879,0.79667,0.79667,0.79963,0.0001812
13,0.01756,0.79333,0.79333,0.79444,0.0001657
14,0.02412,0.83333,0.83333,0.83336,0.00015
15,0.02606,0.82,0.82,0.82043,0.0001343
16,0.01002,0.78,0.78,0.78193,0.0001188
17,0.01345,0.78667,0.78667,0.78905,0.0001036
18,0.01033,0.8,0.8,0.80083,8.9e-05
19,0.00494,0.81333,0.81333,0.81564,7.5e-05
20,0.00392,0.82667,0.82667,0.82797,6.18e-05
21,0.00321,0.82667,0.82667,0.82797,4.96e-05
22,0.003,0.83,0.83,0.83086,3.85e-05
23,0.00285,0.83333,0.83333,0.83409,2.86e-05
24,0.00356,0.82667,0.82667,0.82806,2.01e-05
25,0.00263,0.82333,0.82333,0.82469,1.3e-05
26,0.00342,0.82333,0.82333,0.82469,7.3e-06
27,0.00215,0.82,0.82,0.8215,3.3e-06
28,0.00225,0.82,0.82,0.8215,8e-07
29,0.0024,0.82,0.82,0.8215,0.0
