epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,1.70582,0.74667,0.74667,0.7418,0.0009973
1,0.43256,0.85333,0.85333,0.85251,0.0009891
2,0.24963,0.88,0.88,0.881,0.0009755
3,0.20271,0.87333,0.87333,0.87324,0.0009568
4,0.16542,0.88667,0.88667,0.88703,0.000933
5,0.20415,0.89667,0.89667,0.89704,0.0009045
6,0.1403,0.89333,0.89333,0.89315,0.0008716
7,0.11835,0.9,0.9,0.9003,0.0008346
8,0.10495,0.90333,0.90333,0.90378,0.0007939
9,0.09838,0.90333,0.90333,0.90391,0.00075
10,0.10771,0.90333,0.90333,0.90364,0.0007034
11,0.08149,0.9,0.9,0.90051,0.0006545
12,0.07949,0.90333,0.90333,0.90375,0.000604
13,0.0966,0.90333,0.90333,0.90375,0.0005523
14,0.0791,0.91,0.91,0.91105,0.0005
15,0.10913,0.90333,0.90333,0.90375,0.0004477
16,0.064,0.90333,0.90333,0.90391,0.000396
17,0.06645,0.90667,0.90667,0.90708,0.0003455
18,0.05984,0.90333,0.90333,0.90384,0.0002966
19,0.06159,0.90667,0.90667,0.90708,0.00025
20,0.06295,0.90667,0.90667,0.90708,0.0002061
21,0.0608,0.90333,0.90333,0.90402,0.0001654
22,0.05911,0.90333,0.90333,0.90402,0.0001284
23,0.06667,0.90333,0.90333,0.90402,9.55e-05
24,0.06258,0.90333,0.90333,0.90402,6.7e-05
25,0.0661,0.90333,0.90333,0.90402,4.32e-05
26,0.0562,0.90333,0.90333,0.90402,2.45e-05
27,0.05704,0.90333,0.90333,0.90402,1.09e-05
28,0.05571,0.90333,0.90333,0.90402,2.7e-06
29,0.06813,0.90333,0.90333,0.90402,0.0
