epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,1.08544,0.86333,0.86333,0.86384,0.0009973
1,0.25776,0.9,0.9,0.9017,0.0009891
2,0.1755,0.92333,0.92333,0.92423,0.0009755
3,0.13549,0.91667,0.91667,0.91777,0.0009568
4,0.12306,0.93,0.93,0.93117,0.000933
5,0.10095,0.93,0.93,0.93068,0.0009045
6,0.08952,0.93,0.93,0.9309,0.0008716
7,0.07412,0.93333,0.93333,0.9342,0.0008346
8,0.06855,0.92667,0.92667,0.92744,0.0007939
9,0.06627,0.92333,0.92333,0.92406,0.00075
10,0.05963,0.93667,0.93667,0.93736,0.0007034
11,0.05942,0.92667,0.92667,0.92745,0.0006545
12,0.05513,0.93333,0.93333,0.93403,0.000604
13,0.05111,0.93,0.93,0.93064,0.0005523
14,0.04687,0.92667,0.92667,0.92762,0.0005
15,0.0463,0.93,0.93,0.93064,0.0004477
16,0.0445,0.92,0.92,0.92125,0.000396
17,0.04291,0.92,0.92,0.92099,0.0003455
18,0.04085,0.93,0.93,0.93064,0.0002966
19,0.04235,0.92333,0.92333,0.92432,0.00025
20,0.03997,0.92333,0.92333,0.92432,0.0002061
21,0.0402,0.93,0.93,0.93058,0.0001654
22,0.03972,0.92333,0.92333,0.92432,0.0001284
23,0.03535,0.92333,0.92333,0.92432,9.55e-05
24,0.03656,0.92333,0.92333,0.92432,6.7e-05
25,0.03358,0.92333,0.92333,0.92432,4.32e-05
26,0.03418,0.92333,0.92333,0.92432,2.45e-05
27,0.03431,0.92333,0.92333,0.92432,1.09e-05
28,0.03565,0.92333,0.92333,0.92432,2.7e-06
29,0.03792,0.92333,0.92333,0.92432,0.0
