epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,2.21634,0.43,0.43,0.38085,0.0002992
1,1.89535,0.63333,0.63333,0.62162,0.0002967
2,1.51652,0.72667,0.72667,0.71875,0.0002927
3,1.15236,0.76333,0.76333,0.75382,0.000287
4,0.9029,0.76333,0.76333,0.75586,0.0002799
5,0.67363,0.81,0.81,0.80982,0.0002714
6,0.57577,0.80667,0.80667,0.80611,0.0002615
7,0.48601,0.81667,0.81667,0.81625,0.0002504
8,0.3771,0.83333,0.83333,0.83279,0.0002382
9,0.33364,0.81333,0.81333,0.8125,0.000225
10,0.34321,0.81333,0.81333,0.81229,0.000211
11,0.26246,0.80333,0.80333,0.80115,0.0001964
12,0.20661,0.82333,0.82333,0.82378,0.0001812
13,0.16727,0.81,0.81,0.81052,0.0001657
14,0.185,0.81667,0.81667,0.81476,0.00015
15,0.16656,0.82,0.82,0.82067,0.0001343
16,0.15629,0.82667,0.82667,0.826,0.0001188
17,0.13989,0.82667,0.82667,0.82657,0.0001036
18,0.14077,0.82,0.82,0.8212,8.9e-05
19,0.17807,0.82667,0.82667,0.82744,7.5e-05
20,0.13401,0.84333,0.84333,0.84286,6.18e-05
21,0.12305,0.83667,0.83667,0.83707,4.96e-05
22,0.13392,0.80333,0.80333,0.80217,3.85e-05
23,0.12217,0.82333,0.82333,0.82285,2.86e-05
24,0.10058,0.83333,0.83333,0.83276,2.01e-05
25,0.10287,0.83,0.83,0.82823,1.3e-05
26,0.0916,0.82667,0.82667,0.82445,7.3e-06
27,0.11912,0.83,0.83,0.82891,3.3e-06
28,0.10052,0.84,0.84,0.83993,8e-07
29,0.1388,0.82667,0.82667,0.82728,0.0
