epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,2.0944,0.59,0.59,0.54908,0.0002992
1,1.41535,0.73,0.73,0.72351,0.0002967
2,0.85026,0.77,0.77,0.76609,0.0002927
3,0.5232,0.79667,0.79667,0.79567,0.000287
4,0.3369,0.81667,0.81667,0.81616,0.0002799
5,0.23426,0.83333,0.83333,0.8329,0.0002714
6,0.16238,0.83333,0.83333,0.83217,0.0002615
7,0.11519,0.85,0.85,0.84935,0.0002504
8,0.09438,0.86667,0.86667,0.866,0.0002382
9,0.07563,0.86667,0.86667,0.86639,0.000225
10,0.07009,0.87,0.87,0.86739,0.000211
11,0.05042,0.87,0.87,0.86946,0.0001964
12,0.04907,0.87,0.87,0.86895,0.0001812
13,0.04177,0.86,0.86,0.85855,0.0001657
14,0.03797,0.88333,0.88333,0.88311,0.00015
15,0.03428,0.85667,0.85667,0.85626,0.0001343
16,0.03402,0.86333,0.86333,0.86294,0.0001188
17,0.02971,0.86333,0.86333,0.86145,0.0001036
18,0.0255,0.86667,0.86667,0.86428,8.9e-05
19,0.02094,0.86333,0.86333,0.8601,7.5e-05
20,0.01975,0.86667,0.86667,0.86443,6.18e-05
21,0.02545,0.85333,0.85333,0.85013,4.96e-05
22,0.01982,0.86,0.86,0.85754,3.85e-05
23,0.0194,0.85667,0.85667,0.85404,2.86e-05
24,0.02201,0.86,0.86,0.85719,2.01e-05
25,0.01663,0.86667,0.86667,0.86458,1.3e-05
26,0.02293,0.86333,0.86333,0.86052,7.3e-06
27,0.01779,0.86333,0.86333,0.86052,3.3e-06
28,0.02004,0.86,0.86,0.85805,8e-07
29,0.01849,0.86333,0.86333,0.86052,0.0
