epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,0.56787,0.85333,0.85333,0.84937,0.0002992
1,0.08019,0.87667,0.87667,0.87502,0.0002967
2,0.04561,0.84667,0.84667,0.83575,0.0002927
3,0.04663,0.90333,0.90333,0.90326,0.000287
4,0.01797,0.85,0.85,0.84577,0.0002799
5,0.02952,0.89667,0.89667,0.89308,0.0002714
6,0.05611,0.87667,0.87667,0.87672,0.0002615
7,0.00919,0.87,0.87,0.8667,0.0002504
8,0.00366,0.9,0.9,0.89983,0.0002382
9,0.00129,0.90667,0.90667,0.90648,0.000225
10,0.00075,0.90333,0.90333,0.90335,0.000211
11,0.00057,0.90333,0.90333,0.90296,0.0001964
12,0.00172,0.89667,0.89667,0.89623,0.0001812
13,0.00152,0.9,0.9,0.89932,0.0001657
14,0.0008,0.89333,0.89333,0.89184,0.00015
15,0.00074,0.89667,0.89667,0.8957,0.0001343
16,0.00039,0.89667,0.89667,0.8957,0.0001188
17,0.00098,0.88,0.88,0.87732,0.0001036
18,0.00086,0.90333,0.90333,0.90278,8.9e-05
19,0.00048,0.91333,0.91333,0.91298,7.5e-05
20,0.00042,0.91333,0.91333,0.91297,6.18e-05
21,0.00031,0.91333,0.91333,0.91297,4.96e-05
22,0.0006,0.91333,0.91333,0.91297,3.85e-05
23,0.00031,0.90667,0.90667,0.90605,2.86e-05
24,0.00034,0.91,0.91,0.90949,2.01e-05
25,0.00028,0.91,0.91,0.90958,1.3e-05
26,0.00039,0.91,0.91,0.90958,7.3e-06
27,0.00029,0.91,0.91,0.90958,3.3e-06
28,0.00026,0.91,0.91,0.90958,8e-07
29,0.00025,0.91,0.91,0.90958,0.0
