epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,0.72734,0.77333,0.77333,0.76909,0.0002992
1,0.23224,0.77333,0.77333,0.76012,0.0002967
2,0.1774,0.82,0.82,0.81054,0.0002927
3,0.11306,0.80333,0.80333,0.80529,0.000287
4,0.07634,0.82333,0.82333,0.82088,0.0002799
5,0.07154,0.80333,0.80333,0.79746,0.0002714
6,0.07666,0.80667,0.80667,0.80256,0.0002615
7,0.07419,0.81333,0.81333,0.81067,0.0002504
8,0.06261,0.80333,0.80333,0.79895,0.0002382
9,0.03483,0.83667,0.83667,0.83545,0.000225
10,0.03392,0.83333,0.83333,0.83341,0.000211
11,0.02242,0.84333,0.84333,0.8427,0.0001964
12,0.01704,0.85667,0.85667,0.85342,0.0001812
13,0.0118,0.85333,0.85333,0.85167,0.0001657
14,0.00685,0.85667,0.85667,0.85649,0.00015
15,0.00745,0.82667,0.82667,0.82206,0.0001343
16,0.00722,0.85,0.85,0.84917,0.0001188
17,0.01413,0.84333,0.84333,0.84344,0.0001036
18,0.00767,0.83667,0.83667,0.82772,8.9e-05
19,0.00586,0.86667,0.86667,0.86538,7.5e-05
20,0.00272,0.86333,0.86333,0.86225,6.18e-05
21,0.00294,0.86333,0.86333,0.86174,4.96e-05
22,0.00191,0.86,0.86,0.85855,3.85e-05
23,0.00264,0.85,0.85,0.84866,2.86e-05
24,0.00183,0.85,0.85,0.84866,2.01e-05
25,0.00195,0.85333,0.85333,0.8518,1.3e-05
26,0.00176,0.85333,0.85333,0.8518,7.3e-06
27,0.003,0.85333,0.85333,0.8518,3.3e-06
28,0.00249,0.85333,0.85333,0.8518,8e-07
29,0.00172,0.85333,0.85333,0.8518,0.0
