epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,1.14803,0.78667,0.78667,0.7783,0.0009973
1,0.16411,0.85667,0.85667,0.85438,0.0009891
2,0.09258,0.85667,0.85667,0.85453,0.0009755
3,0.06761,0.87333,0.87333,0.87091,0.0009568
4,0.05313,0.87333,0.87333,0.87135,0.000933
5,0.08574,0.88,0.88,0.87781,0.0009045
6,0.04234,0.88667,0.88667,0.88486,0.0008716
7,0.03262,0.88667,0.88667,0.88486,0.0008346
8,0.0312,0.89667,0.89667,0.89495,0.0007939
9,0.02907,0.89,0.89,0.88805,0.00075
10,0.02449,0.9,0.9,0.89846,0.0007034
11,0.02206,0.9,0.9,0.89857,0.0006545
12,0.02072,0.89667,0.89667,0.89547,0.000604
13,0.01769,0.89667,0.89667,0.89517,0.0005523
14,0.0179,0.89667,0.89667,0.89517,0.0005
15,0.01691,0.90333,0.90333,0.90181,0.0004477
16,0.01704,0.9,0.9,0.89882,0.000396
17,0.01531,0.9,0.9,0.89882,0.0003455
18,0.01354,0.90333,0.90333,0.90181,0.0002966
19,0.01511,0.90333,0.90333,0.90181,0.00025
20,0.01395,0.9,0.9,0.89857,0.0002061
21,0.01648,0.9,0.9,0.89857,0.0001654
22,0.01334,0.89667,0.89667,0.89559,0.0001284
23,0.0131,0.9,0.9,0.89882,9.55e-05
24,0.01362,0.9,0.9,0.89882,6.7e-05
25,0.01711,0.90333,0.90333,0.90181,4.32e-05
26,0.01233,0.90333,0.90333,0.90181,2.45e-05
27,0.01351,0.90333,0.90333,0.90181,1.09e-05
28,0.01188,0.90333,0.90333,0.90181,2.7e-06
29,0.01764,0.90333,0.90333,0.90181,0.0
