epoch,train_loss,val_acc,val_bal_acc,val_macro_f1,lr
0,2.07099,0.55333,0.55333,0.51629,0.0002992
1,1.36752,0.64667,0.64667,0.6052,0.0002967
2,0.79322,0.70333,0.70333,0.67213,0.0002927
3,0.53304,0.74333,0.74333,0.73612,0.000287
4,0.36795,0.77333,0.77333,0.77337,0.0002799
5,0.27213,0.80667,0.80667,0.79786,0.0002714
6,0.24701,0.81333,0.81333,0.80662,0.0002615
7,0.20739,0.81,0.81,0.80488,0.0002504
8,0.17534,0.81,0.81,0.80155,0.0002382
9,0.19721,0.82,0.82,0.81443,0.000225
10,0.16925,0.79333,0.79333,0.78929,0.000211
11,0.13417,0.81,0.81,0.8009,0.0001964
12,0.14145,0.82667,0.82667,0.82024,0.0001812
13,0.14904,0.81333,0.81333,0.80069,0.0001657
14,0.13784,0.82667,0.82667,0.81995,0.00015
15,0.11584,0.8,0.8,0.79173,0.0001343
16,0.17354,0.8,0.8,0.78769,0.0001188
17,0.12877,0.82667,0.82667,0.81949,0.0001036
18,0.11087,0.82333,0.82333,0.81746,8.9e-05
19,0.10534,0.81667,0.81667,0.81226,7.5e-05
20,0.10485,0.82,0.82,0.81131,6.18e-05
21,0.15529,0.82667,0.82667,0.81723,4.96e-05
22,0.1044,0.83,0.83,0.82439,3.85e-05
23,0.13016,0.82,0.82,0.81109,2.86e-05
24,0.1211,0.82,0.82,0.81468,2.01e-05
25,0.08699,0.81667,0.81667,0.81133,1.3e-05
26,0.14522,0.81333,0.81333,0.80024,7.3e-06
27,0.14944,0.81667,0.81667,0.80553,3.3e-06
28,0.08868,0.81667,0.81667,0.81256,8e-07
29,0.13947,0.83333,0.83333,0.82503,0.0
