source,breed,n_total,clip_only,dino_only,joint_and_pipeline,joint_or,clip_mean,dino_mean
variant_D,Birman,300,300,265,265,300,0.8934775648514429,0.6405905741453171
variant_D,Maine_Coon,300,300,299,299,300,0.8947846047083536,0.7368514174222947
variant_D,Persian,300,300,278,278,300,0.8871206241846085,0.6450719139973322
variant_D,Ragdoll,300,300,283,283,300,0.8856131428480148,0.6767717850208282
variant_D,Siamese,300,300,278,278,300,0.8690302707751592,0.6757960485418638
variant_D,american_bulldog,300,300,296,296,300,0.8658328060309092,0.6708709156513214
variant_D,boxer,300,300,292,292,300,0.8693251210451126,0.7244994111855825
variant_D,english_cocker_spaniel,300,300,276,276,300,0.8450465683142344,0.6316460804144541
variant_D,english_setter,300,300,214,214,300,0.843810708920161,0.5781932671864828
variant_D,staffordshire_bull_terrier,300,300,269,269,300,0.8531429620583852,0.6143490370114645
variant_E,Birman,300,292,283,283,292,0.8871318882703781,0.7386684991791844
variant_E,Maine_Coon,300,300,298,298,300,0.8920599434773128,0.729917138616244
variant_E,Ragdoll,300,294,285,285,294,0.8808309771617253,0.698140693679452
variant_E,american_bulldog,300,300,300,300,300,0.8657954221963883,0.7197338626782099
variant_E,staffordshire_bull_terrier,300,58,29,29,58,0.6146955940127373,0.15684987711409723
