run_name,variant,model,seed,best_epoch,best_val_acc,test_acc,test_bal_acc,test_macro_f1
A_convnext_tiny_seed0,A,convnext_tiny,0,8,0.8933,0.8563,0.8561,0.8573
A_convnext_tiny_seed1,A,convnext_tiny,1,10,0.8767,0.8593,0.8579,0.8596
A_convnext_tiny_seed2,A,convnext_tiny,2,6,0.9400,0.8796,0.8767,0.8756
A_deit_tiny_seed0,A,deit_tiny,0,11,0.8100,0.7632,0.7626,0.7620
A_deit_tiny_seed1,A,deit_tiny,1,2,0.8433,0.8148,0.8145,0.8125
A_deit_tiny_seed2,A,deit_tiny,2,25,0.8767,0.8239,0.8222,0.8213
A_dinov2_small_seed0,A,dinov2_small,0,13,0.9067,0.8907,0.8903,0.8905
A_dinov2_small_seed1,A,dinov2_small,1,9,0.9000,0.8765,0.8763,0.8776
A_dinov2_small_seed2,A,dinov2_small,2,22,0.9433,0.8877,0.8863,0.8875
A_resnet18_seed0,A,resnet18,0,15,0.8400,0.7885,0.7856,0.7863
A_resnet18_seed1,A,resnet18,1,12,0.8067,0.7945,0.7934,0.7947
A_resnet18_seed2,A,resnet18,2,15,0.8800,0.8188,0.8163,0.8156
B_convnext_tiny_seed0,B,convnext_tiny,0,15,0.8700,0.8512,0.8503,0.8516
B_convnext_tiny_seed1,B,convnext_tiny,1,19,0.8900,0.8623,0.8614,0.8622
B_convnext_tiny_seed2,B,convnext_tiny,2,6,0.9300,0.8674,0.8657,0.8664
B_deit_tiny_seed0,B,deit_tiny,0,3,0.8233,0.8006,0.7986,0.7979
B_deit_tiny_seed1,B,deit_tiny,1,24,0.8633,0.8138,0.8122,0.8128
B_deit_tiny_seed2,B,deit_tiny,2,19,0.8833,0.8077,0.8058,0.8055
B_dinov2_small_seed0,B,dinov2_small,0,12,0.9033,0.8877,0.8869,0.8869
B_dinov2_small_seed1,B,dinov2_small,1,10,0.8967,0.8816,0.8811,0.8826
B_dinov2_small_seed2,B,dinov2_small,2,10,0.9400,0.8806,0.8790,0.8797
B_resnet18_seed0,B,resnet18,0,20,0.8333,0.7814,0.7790,0.7802
B_resnet18_seed1,B,resnet18,1,29,0.8267,0.8168,0.8149,0.8158
B_resnet18_seed2,B,resnet18,2,27,0.8900,0.8370,0.8344,0.8339
C_convnext_tiny_seed0,C,convnext_tiny,0,2,0.7733,0.7621,0.7640,0.7647
C_convnext_tiny_seed1,C,convnext_tiny,1,4,0.7700,0.7783,0.7803,0.7783
C_convnext_tiny_seed2,C,convnext_tiny,2,13,0.8233,0.7814,0.7820,0.7847
C_deit_tiny_seed0,C,deit_tiny,0,26,0.7067,0.6893,0.6916,0.6922
C_deit_tiny_seed1,C,deit_tiny,1,23,0.7133,0.6964,0.6980,0.7024
C_deit_tiny_seed2,C,deit_tiny,2,23,0.7600,0.7217,0.7231,0.7215
C_dinov2_small_seed0,C,dinov2_small,0,4,0.8033,0.8107,0.8122,0.8084
C_dinov2_small_seed1,C,dinov2_small,1,8,0.8200,0.8016,0.8034,0.8017
C_dinov2_small_seed2,C,dinov2_small,2,3,0.8700,0.8148,0.8162,0.8150
C_resnet18_seed0,C,resnet18,0,12,0.6733,0.7095,0.7112,0.7150
C_resnet18_seed1,C,resnet18,1,6,0.7133,0.6953,0.6974,0.6931
C_resnet18_seed2,C,resnet18,2,8,0.7400,0.7146,0.7161,0.7126
D_convnext_tiny_n240_seed0,D,convnext_tiny,0,5,0.8700,0.8492,0.8496,0.8504
D_convnext_tiny_n30_seed0,D,convnext_tiny,0,17,0.8700,0.8532,0.8538,0.8526
D_convnext_tiny_n60_seed0,D,convnext_tiny,0,4,0.8800,0.8593,0.8591,0.8604
D_convnext_tiny_seed0,D,convnext_tiny,0,6,0.8700,0.8613,0.8607,0.8594
D_convnext_tiny_n240_seed1,D,convnext_tiny,1,10,0.8567,0.8472,0.8466,0.8473
D_convnext_tiny_n30_seed1,D,convnext_tiny,1,14,0.8767,0.8532,0.8523,0.8528
D_convnext_tiny_n60_seed1,D,convnext_tiny,1,21,0.8967,0.8623,0.8628,0.8638
D_convnext_tiny_seed1,D,convnext_tiny,1,16,0.8700,0.8502,0.8498,0.8515
D_convnext_tiny_n240_seed2,D,convnext_tiny,2,22,0.9267,0.8704,0.8706,0.8704
D_convnext_tiny_n30_seed2,D,convnext_tiny,2,4,0.9233,0.8684,0.8668,0.8688
D_convnext_tiny_n60_seed2,D,convnext_tiny,2,19,0.9333,0.8664,0.8658,0.8660
D_convnext_tiny_seed2,D,convnext_tiny,2,13,0.9300,0.8350,0.8344,0.8378
D_deit_tiny_n240_seed0,D,deit_tiny,0,15,0.8100,0.7763,0.7768,0.7761
D_deit_tiny_n30_seed0,D,deit_tiny,0,15,0.8367,0.7945,0.7940,0.7908
D_deit_tiny_n60_seed0,D,deit_tiny,0,19,0.8367,0.8067,0.8068,0.8041
D_deit_tiny_seed0,D,deit_tiny,0,13,0.8400,0.7581,0.7577,0.7596
D_deit_tiny_n240_seed1,D,deit_tiny,1,22,0.8267,0.8047,0.8049,0.8064
D_deit_tiny_n30_seed1,D,deit_tiny,1,21,0.8667,0.8178,0.8169,0.8192
D_deit_tiny_n60_seed1,D,deit_tiny,1,3,0.8267,0.7996,0.7989,0.7999
D_deit_tiny_seed1,D,deit_tiny,1,14,0.8333,0.8097,0.8089,0.8096
D_deit_tiny_n240_seed2,D,deit_tiny,2,12,0.8600,0.7804,0.7795,0.7790
D_deit_tiny_n30_seed2,D,deit_tiny,2,22,0.8667,0.8097,0.8090,0.8099
D_deit_tiny_n60_seed2,D,deit_tiny,2,19,0.8900,0.8178,0.8166,0.8164
D_deit_tiny_seed2,D,deit_tiny,2,18,0.8700,0.8026,0.8014,0.8042
D_dinov2_small_n240_seed0,D,dinov2_small,0,7,0.8767,0.8755,0.8764,0.8757
D_dinov2_small_n30_seed0,D,dinov2_small,0,9,0.9100,0.8897,0.8899,0.8884
D_dinov2_small_n60_seed0,D,dinov2_small,0,7,0.9133,0.8887,0.8894,0.8880
D_dinov2_small_seed0,D,dinov2_small,0,12,0.9000,0.8877,0.8883,0.8888
D_dinov2_small_n240_seed1,D,dinov2_small,1,12,0.9100,0.8765,0.8772,0.8763
D_dinov2_small_n30_seed1,D,dinov2_small,1,12,0.9100,0.8735,0.8733,0.8736
D_dinov2_small_n60_seed1,D,dinov2_small,1,14,0.9100,0.8836,0.8839,0.8847
D_dinov2_small_seed1,D,dinov2_small,1,20,0.9067,0.8846,0.8848,0.8850
D_dinov2_small_n240_seed2,D,dinov2_small,2,11,0.9300,0.8816,0.8822,0.8824
D_dinov2_small_n30_seed2,D,dinov2_small,2,9,0.9433,0.8866,0.8863,0.8870
D_dinov2_small_n60_seed2,D,dinov2_small,2,20,0.9433,0.8917,0.8916,0.8918
D_dinov2_small_seed2,D,dinov2_small,2,10,0.9367,0.8826,0.8832,0.8839
D_resnet18_n240_seed0,D,resnet18,0,16,0.8100,0.7976,0.7985,0.7957
D_resnet18_n30_seed0,D,resnet18,0,11,0.8333,0.8148,0.8141,0.8138
D_resnet18_n60_seed0,D,resnet18,0,20,0.8433,0.8087,0.8086,0.8101
D_resnet18_seed0,D,resnet18,0,10,0.8267,0.8128,0.8129,0.8130
D_resnet18_n240_seed1,D,resnet18,1,8,0.8300,0.8077,0.8077,0.8060
D_resnet18_n30_seed1,D,resnet18,1,19,0.8467,0.8188,0.8188,0.8176
D_resnet18_n60_seed1,D,resnet18,1,17,0.8633,0.8219,0.8218,0.8211
D_resnet18_seed1,D,resnet18,1,15,0.8567,0.8360,0.8361,0.8366
D_resnet18_n240_seed2,D,resnet18,2,8,0.8700,0.8249,0.8249,0.8238
D_resnet18_n30_seed2,D,resnet18,2,20,0.8600,0.8360,0.8348,0.8336
D_resnet18_n60_seed2,D,resnet18,2,16,0.8733,0.8411,0.8409,0.8399
D_resnet18_seed2,D,resnet18,2,14,0.8833,0.8340,0.8337,0.8329
E_convnext_tiny_seed0,E,convnext_tiny,0,18,0.8833,0.8573,0.8571,0.8557
