run_name,model,n_synth,seed,test_acc,test_bal_acc,test_macro_f1
D_convnext_tiny_n30_seed0,convnext_tiny,30,0,0.8532388663967612,0.85380683236863,0.8525511157915961
D_convnext_tiny_n30_seed1,convnext_tiny,30,1,0.8532388663967612,0.8523236863012145,0.8528485724518887
D_convnext_tiny_n30_seed2,convnext_tiny,30,2,0.868421052631579,0.8667889002383384,0.8687616840847792
D_convnext_tiny_n60_seed0,convnext_tiny,60,0,0.8593117408906883,0.8590551583248214,0.8603539548965523
D_convnext_tiny_n60_seed1,convnext_tiny,60,1,0.8623481781376519,0.8628169333787312,0.8637712972274858
D_convnext_tiny_n60_seed2,convnext_tiny,60,2,0.8663967611336032,0.8658079673135853,0.8659901745062314
D_convnext_tiny_seed0,convnext_tiny,120,0,0.861336032388664,0.8606944728180684,0.8594469237640874
D_convnext_tiny_seed1,convnext_tiny,120,1,0.8502024291497976,0.8498079673135853,0.851532642913787
D_convnext_tiny_seed2,convnext_tiny,120,2,0.8350202429149798,0.8344270797866304,0.8377845975890263
D_convnext_tiny_n240_seed0,convnext_tiny,240,0,0.8491902834008097,0.849602428782204,0.8503917896844916
D_convnext_tiny_n240_seed1,convnext_tiny,240,1,0.847165991902834,0.8465607763023494,0.8472792219797161
D_convnext_tiny_n240_seed2,convnext_tiny,240,2,0.8704453441295547,0.8705620247418,0.8703521966901577
D_deit_tiny_n30_seed0,deit_tiny,30,0,0.7945344129554656,0.7940461922596753,0.7907894265806539
D_deit_tiny_n30_seed1,deit_tiny,30,1,0.8178137651821862,0.8168821927136534,0.8191511923419676
D_deit_tiny_n30_seed2,deit_tiny,30,2,0.8097165991902834,0.8089956872091705,0.8098884418332355
D_deit_tiny_n60_seed0,deit_tiny,60,0,0.8066801619433198,0.8067675632731813,0.8040708838101542
D_deit_tiny_n60_seed1,deit_tiny,60,1,0.7995951417004049,0.7989427987742593,0.7998796908635939
D_deit_tiny_n60_seed2,deit_tiny,60,2,0.8178137651821862,0.8166451027125184,0.8163502382755476
D_deit_tiny_seed0,deit_tiny,120,0,0.7580971659919028,0.7576956077630236,0.7596036748693891
D_deit_tiny_seed1,deit_tiny,120,1,0.8097165991902834,0.8088821927136532,0.8095545142460997
D_deit_tiny_seed2,deit_tiny,120,2,0.8026315789473685,0.8014484167517877,0.8041574134885414
D_deit_tiny_n240_seed0,deit_tiny,240,0,0.7763157894736842,0.7768204517080922,0.7761258095407974
D_deit_tiny_n240_seed1,deit_tiny,240,1,0.8046558704453441,0.8049416638293042,0.806364567513776
D_deit_tiny_n240_seed2,deit_tiny,240,2,0.7803643724696356,0.7795013051866984,0.7789942697979837
D_dinov2_small_n30_seed0,dinov2_small,30,0,0.8896761133603239,0.8899405288843492,0.88838021793032
D_dinov2_small_n30_seed1,dinov2_small,30,1,0.8734817813765182,0.8732922483259561,0.873596306552564
D_dinov2_small_n30_seed2,dinov2_small,30,2,0.8866396761133604,0.8863023493360572,0.8869515544477551
D_dinov2_small_n60_seed0,dinov2_small,60,0,0.888663967611336,0.8894147088866191,0.8880308618813333
D_dinov2_small_n60_seed1,dinov2_small,60,1,0.8836032388663968,0.8839203268641471,0.8847058333857671
D_dinov2_small_n60_seed2,dinov2_small,60,2,0.8917004048582996,0.8915798433775961,0.8918134653935482
D_dinov2_small_seed0,dinov2_small,120,0,0.8876518218623481,0.8883012143911021,0.8888410665991747
D_dinov2_small_seed1,dinov2_small,120,1,0.8846153846153846,0.884796731358529,0.8849558862934505
D_dinov2_small_seed2,dinov2_small,120,2,0.8825910931174089,0.8831877198955851,0.8839183322944951
D_dinov2_small_n240_seed0,dinov2_small,240,0,0.8755060728744939,0.876434910906821,0.8757214466869998
D_dinov2_small_n240_seed1,dinov2_small,240,1,0.8765182186234818,0.8771675178753832,0.8763271020059689
D_dinov2_small_n240_seed2,dinov2_small,240,2,0.881578947368421,0.882187719895585,0.8823737609087571
D_resnet18_n30_seed0,resnet18,30,0,0.8147773279352226,0.8140764952899783,0.8138266275188297
D_resnet18_n30_seed1,resnet18,30,1,0.8188259109311741,0.8187877652933834,0.817605048850616
D_resnet18_n30_seed2,resnet18,30,2,0.8360323886639676,0.8347585972080355,0.8335880253662051
D_resnet18_n60_seed0,resnet18,60,0,0.8087044534412956,0.8085708773124505,0.8100901940043143
D_resnet18_n60_seed1,resnet18,60,1,0.8218623481781376,0.8217978663034844,0.8211142960521066
D_resnet18_n60_seed2,resnet18,60,2,0.8410931174089069,0.8409113607990012,0.8399497875798912
D_resnet18_seed0,resnet18,120,0,0.812753036437247,0.8129315628192033,0.8130062309932287
D_resnet18_seed1,resnet18,120,1,0.8360323886639676,0.8360979457496311,0.8365624749044116
D_resnet18_seed2,resnet18,120,2,0.8340080971659919,0.8336968562024742,0.8329397172119603
D_resnet18_n240_seed0,resnet18,240,0,0.7975708502024291,0.7984889342866871,0.7957015294629781
D_resnet18_n240_seed1,resnet18,240,1,0.8076923076923077,0.8076540687776642,0.8060481263638289
D_resnet18_n240_seed2,resnet18,240,2,0.8248987854251012,0.8249012597889003,0.8238270113227385
