model,n_synth,test_acc_mean,test_acc_std,n_seeds
convnext_tiny,30,0.8582995951417004,0.008765439309559114,3
convnext_tiny,60,0.8626855600539812,0.00355453905291924,3
convnext_tiny,120,0.8488529014844804,0.013209697672369711,3
convnext_tiny,240,0.8556005398110661,0.012895759010537399,3
deit_tiny,30,0.8073549257759783,0.01181800262357424,3
deit_tiny,60,0.8080296896086369,0.009183979479633012,3
deit_tiny,120,0.790148448043185,0.02798236746254249,3
deit_tiny,240,0.7871120107962213,0.015327687842915749,3
dinov2_small,30,0.8832658569500675,0.00860819893533947,3
dinov2_small,60,0.8879892037786775,0.004090538344460885,3
dinov2_small,120,0.8849527665317138,0.00254717760974044,3
dinov2_small,240,0.8778677462887989,0.003253593374154213,3
resnet18,30,0.8232118758434548,0.011285916790605715,3
resnet18,60,0.8238866396761134,0.016288944270679208,3
resnet18,120,0.8275978407557355,0.012895759010537414,3
resnet18,240,0.8100539811066128,0.013816191112984703,3
