variant,model,class,acc_mean,acc_std
A,convnext_tiny,Maine_Coon,0.86,0.0432
A,convnext_tiny,Ragdoll,0.72,0.0712
A,convnext_tiny,Birman,0.8,0.0374
A,convnext_tiny,Siamese,0.9033,0.0634
A,convnext_tiny,Persian,0.9067,0.0047
A,convnext_tiny,boxer,0.9259,0.0172
A,convnext_tiny,american_bulldog,0.91,0.0245
A,convnext_tiny,staffordshire_bull_terrier,0.7266,0.0872
A,convnext_tiny,english_cocker_spaniel,0.9767,0.017
A,convnext_tiny,english_setter,0.9067,0.0685
A,deit_tiny,Maine_Coon,0.72,0.1143
A,deit_tiny,Ragdoll,0.6267,0.0634
A,deit_tiny,Birman,0.7733,0.0655
A,deit_tiny,Siamese,0.9267,0.0205
A,deit_tiny,Persian,0.8,0.0432
A,deit_tiny,boxer,0.8451,0.029
A,deit_tiny,american_bulldog,0.8167,0.0047
A,deit_tiny,staffordshire_bull_terrier,0.7191,0.0511
A,deit_tiny,english_cocker_spaniel,0.9167,0.0403
A,deit_tiny,english_setter,0.8533,0.0881
A,dinov2_small,Maine_Coon,0.8467,0.0205
A,dinov2_small,Ragdoll,0.7033,0.0419
A,dinov2_small,Birman,0.9167,0.017
A,dinov2_small,Siamese,0.9233,0.0125
A,dinov2_small,Persian,0.8867,0.0411
A,dinov2_small,boxer,0.9259,0.0095
A,dinov2_small,american_bulldog,0.9333,0.0249
A,dinov2_small,staffordshire_bull_terrier,0.824,0.0424
A,dinov2_small,english_cocker_spaniel,0.9733,0.017
A,dinov2_small,english_setter,0.91,0.0374
A,resnet18,Maine_Coon,0.79,0.0245
A,resnet18,Ragdoll,0.6967,0.0287
A,resnet18,Birman,0.8233,0.0205
A,resnet18,Siamese,0.8433,0.0685
A,resnet18,Persian,0.8167,0.0655
A,resnet18,boxer,0.8754,0.029
A,resnet18,american_bulldog,0.8267,0.034
A,resnet18,staffordshire_bull_terrier,0.5955,0.0693
A,resnet18,english_cocker_spaniel,0.9267,0.0377
A,resnet18,english_setter,0.79,0.0424
B,convnext_tiny,Maine_Coon,0.8833,0.0249
B,convnext_tiny,Ragdoll,0.7033,0.0573
B,convnext_tiny,Birman,0.8333,0.0125
B,convnext_tiny,Siamese,0.8533,0.045
B,convnext_tiny,Persian,0.91,0.0082
B,convnext_tiny,boxer,0.9125,0.019
B,convnext_tiny,american_bulldog,0.8833,0.0403
B,convnext_tiny,staffordshire_bull_terrier,0.7491,0.0295
B,convnext_tiny,english_cocker_spaniel,0.96,0.0
B,convnext_tiny,english_setter,0.9033,0.0573
B,deit_tiny,Maine_Coon,0.7833,0.034
B,deit_tiny,Ragdoll,0.7067,0.1271
B,deit_tiny,Birman,0.7533,0.1584
B,deit_tiny,Siamese,0.8567,0.0838
B,deit_tiny,Persian,0.8,0.0356
B,deit_tiny,boxer,0.8822,0.029
B,deit_tiny,american_bulldog,0.89,0.0432
B,deit_tiny,staffordshire_bull_terrier,0.633,0.0231
B,deit_tiny,english_cocker_spaniel,0.8333,0.0205
