variant,model,test_acc_mean,test_acc_std,test_bal_acc_mean,test_macro_f1_mean,best_val_acc_mean,n_seeds
A,convnext_tiny,0.8650,0.0127,0.8636,0.8642,0.9033,3
A,deit_tiny,0.8006,0.0328,0.7998,0.7986,0.8433,3
A,dinov2_small,0.8850,0.0075,0.8843,0.8852,0.9167,3
A,resnet18,0.8006,0.0161,0.7984,0.7989,0.8422,3
B,convnext_tiny,0.8603,0.0083,0.8592,0.8601,0.8967,3
B,deit_tiny,0.8074,0.0066,0.8055,0.8054,0.8567,3
B,dinov2_small,0.8833,0.0038,0.8823,0.8831,0.9133,3
B,resnet18,0.8117,0.0282,0.8094,0.8100,0.8500,3
C,convnext_tiny,0.7740,0.0103,0.7754,0.7759,0.7889,3
C,deit_tiny,0.7024,0.0170,0.7042,0.7053,0.7267,3
C,dinov2_small,0.8090,0.0067,0.8106,0.8084,0.8311,3
C,resnet18,0.7065,0.0100,0.7082,0.7069,0.7089,3
D,convnext_tiny,0.8564,0.0103,0.8560,0.8568,0.8919,12
D,deit_tiny,0.7982,0.0181,0.7976,0.7979,0.8469,12
D,dinov2_small,0.8835,0.0059,0.8839,0.8838,0.9158,12
D,resnet18,0.8212,0.0136,0.8211,0.8204,0.8497,12
E,convnext_tiny,0.8580,0.0041,0.8574,0.8573,0.8978,3
E,deit_tiny,0.8036,0.0205,0.8024,0.8028,0.8444,3
E,dinov2_small,0.8917,0.0027,0.8911,0.8911,0.9156,3
E,resnet18,0.8138,0.0123,0.8134,0.8119,0.8522,3
