variant,model,true_class,pred_class,count_summed_over_seeds
A,convnext_tiny,Ragdoll,Birman,59
A,convnext_tiny,staffordshire_bull_terrier,american_bulldog,40
A,convnext_tiny,Maine_Coon,Ragdoll,34
A,convnext_tiny,staffordshire_bull_terrier,boxer,33
A,convnext_tiny,Birman,Siamese,33
A,deit_tiny,Ragdoll,Birman,67
A,deit_tiny,Birman,Siamese,43
A,deit_tiny,Maine_Coon,Persian,41
A,deit_tiny,staffordshire_bull_terrier,american_bulldog,39
A,deit_tiny,english_setter,english_cocker_spaniel,36
A,dinov2_small,Ragdoll,Birman,71
A,dinov2_small,staffordshire_bull_terrier,american_bulldog,31
A,dinov2_small,Maine_Coon,Ragdoll,28
A,dinov2_small,english_setter,english_cocker_spaniel,27
A,dinov2_small,Siamese,Birman,22
A,resnet18,staffordshire_bull_terrier,american_bulldog,61
A,resnet18,english_setter,english_cocker_spaniel,57
A,resnet18,Ragdoll,Birman,52
A,resnet18,staffordshire_bull_terrier,boxer,47
A,resnet18,Siamese,Birman,38
B,convnext_tiny,Ragdoll,Birman,61
B,convnext_tiny,Siamese,Birman,43
B,convnext_tiny,staffordshire_bull_terrier,american_bulldog,35
B,convnext_tiny,staffordshire_bull_terrier,boxer,32
B,convnext_tiny,Maine_Coon,Ragdoll,32
B,deit_tiny,staffordshire_bull_terrier,american_bulldog,59
B,deit_tiny,Ragdoll,Birman,48
B,deit_tiny,english_cocker_spaniel,english_setter,45
B,deit_tiny,Persian,Ragdoll,40
B,deit_tiny,staffordshire_bull_terrier,boxer,39
B,dinov2_small,Ragdoll,Birman,83
B,dinov2_small,staffordshire_bull_terrier,american_bulldog,33
B,dinov2_small,Maine_Coon,Ragdoll,30
B,dinov2_small,Siamese,Birman,22
B,dinov2_small,staffordshire_bull_terrier,boxer,21
B,resnet18,staffordshire_bull_terrier,american_bulldog,60
B,resnet18,staffordshire_bull_terrier,boxer,47
B,resnet18,Ragdoll,Birman,47
B,resnet18,english_setter,english_cocker_spaniel,43
B,resnet18,Siamese,Birman,41
C,convnext_tiny,Ragdoll,Birman,129
C,convnext_tiny,Maine_Coon,Ragdoll,80
C,convnext_tiny,Birman,Siamese,61
C,convnext_tiny,boxer,staffordshire_bull_terrier,45
C,convnext_tiny,Maine_Coon,Birman,42
C,deit_tiny,english_cocker_spaniel,english_setter,88
C,deit_tiny,Ragdoll,Birman,88
C,deit_tiny,Maine_Coon,Ragdoll,79
C,deit_tiny,boxer,staffordshire_bull_terrier,66
C,deit_tiny,Persian,Ragdoll,60
C,dinov2_small,Ragdoll,Birman,116
C,dinov2_small,Maine_Coon,Ragdoll,77
C,dinov2_small,english_cocker_spaniel,english_setter,44
C,dinov2_small,Birman,Persian,42
C,dinov2_small,Birman,Siamese,34
C,resnet18,Ragdoll,Birman,128
C,resnet18,Birman,Ragdoll,77
C,resnet18,american_bulldog,staffordshire_bull_terrier,64
C,resnet18,Maine_Coon,Ragdoll,61
C,resnet18,boxer,staffordshire_bull_terrier,58
D,convnext_tiny,Ragdoll,Birman,417
D,convnext_tiny,Maine_Coon,Ragdoll,174
D,convnext_tiny,Siamese,Birman,159
D,convnext_tiny,staffordshire_bull_terrier,american_bulldog,122
D,convnext_tiny,american_bulldog,boxer,93
D,deit_tiny,Ragdoll,Birman,359
D,deit_tiny,Siamese,Birman,163
D,deit_tiny,Maine_Coon,Ragdoll,155
D,deit_tiny,staffordshire_bull_terrier,american_bulldog,148
D,deit_tiny,english_cocker_spaniel,english_setter,131
D,dinov2_small,Ragdoll,Birman,448
D,dinov2_small,Maine_Coon,Ragdoll,191
D,dinov2_small,Siamese,Birman,122
D,dinov2_small,staffordshire_bull_terrier,american_bulldog,68
D,dinov2_small,Persian,Ragdoll,68
D,resnet18,Ragdoll,Birman,355
D,resnet18,american_bulldog,boxer,137
D,resnet18,Maine_Coon,Ragdoll,133
D,resnet18,english_setter,english_cocker_spaniel,127
D,resnet18,staffordshire_bull_terrier,american_bulldog,119
E,convnext_tiny,Ragdoll,Birman,76
E,convnext_tiny,staffordshire_bull_terrier,american_bulldog,38
E,convnext_tiny,Siamese,Birman,35
E,convnext_tiny,american_bulldog,boxer,33
E,convnext_tiny,Birman,Ragdoll,30
E,deit_tiny,Ragdoll,Birman,56
E,deit_tiny,Birman,Ragdoll,52
E,deit_tiny,staffordshire_bull_terrier,american_bulldog,50
E,deit_tiny,Maine_Coon,Persian,42
E,deit_tiny,Siamese,Birman,39
E,dinov2_small,Ragdoll,Birman,62
E,dinov2_small,staffordshire_bull_terrier,american_bulldog,34
E,dinov2_small,Maine_Coon,Ragdoll,31
E,dinov2_small,Ragdoll,Persian,24
E,dinov2_small,Siamese,Birman,23
E,resnet18,Ragdoll,Birman,58
E,resnet18,Birman,Ragdoll,43
E,resnet18,american_bulldog,boxer,41
E,resnet18,Siamese,Birman,41
E,resnet18,american_bulldog,staffordshire_bull_terrier,40
